X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-75.68141,45.39613,0,0,222,40,2017/05/06 13:54:28+00,,,,,,,,,,,,,,,,,,,,,
-75.68168,45.396072,0,0,223,39,2017/05/06 13:54:37+00,,,,,,,,,,,,,,,,,,,,,
-75.68183,45.39604,0,0,224,39,2017/05/06 13:54:42+00,,,,,,,,,,,,,,,,,,,,,
-75.68198,45.396027,0,0,225,38,2017/05/06 13:54:47+00,,,,,,,,,,,,,,,,,,,,,
-75.68227,45.395943,0,0,226,36,2017/05/06 13:54:57+00,,,,,,,,,,,,,,,,,,,,,
-75.68255,45.395927,0,0,227,35,2017/05/06 13:55:07+00,,,,,,,,,,,,,,,,,,,,,
-75.6827,45.39594,0,0,228,35,2017/05/06 13:55:11+00,,,,,,,,,,,,,,,,,,,,,
-75.68285,45.39593,0,0,229,34,2017/05/06 13:55:16+00,,,,,,,,,,,,,,,,,,,,,
-75.68298,45.395935,0,0,230,34,2017/05/06 13:55:20+00,,,,,,,,,,,,,,,,,,,,,
-75.68313,45.395947,0,0,231,34,2017/05/06 13:55:25+00,,,,,,,,,,,,,,,,,,,,,
-75.68327,45.39594,0,0,232,33,2017/05/06 13:55:30+00,,,,,,,,,,,,,,,,,,,,,
-75.683586,45.395954,0,0,233,32,2017/05/06 13:55:41+00,,,,,,,,,,,,,,,,,,,,,
-75.68385,45.39594,0,0,234,32,2017/05/06 13:55:50+00,,,,,,,,,,,,,,,,,,,,,
-75.684,45.39594,0,0,235,31,2017/05/06 13:55:55+00,,,,,,,,,,,,,,,,,,,,,
-75.68414,45.395943,0,0,236,31,2017/05/06 13:56:01+00,,,,,,,,,,,,,,,,,,,,,
-75.6843,45.39605,0,0,237,32,2017/05/06 13:56:17+00,,,,,,,,,,,,,,,,,,,,,
-75.68435,45.396133,0,0,238,33,2017/05/06 13:56:25+00,,,,,,,,,,,,,,,,,,,,,
-75.684494,45.396297,0,0,239,35,2017/05/06 13:56:40+00,,,,,,,,,,,,,,,,,,,,,
-75.68458,45.39648,0,0,240,37,2017/05/06 13:56:58+00,,,,,,,,,,,,,,,,,,,,,
-75.68469,45.39665,0,0,241,39,2017/05/06 13:57:13+00,,,,,,,,,,,,,,,,,,,,,
-75.68472,45.396744,0,0,242,40,2017/05/06 13:57:22+00,,,,,,,,,,,,,,,,,,,,,
-75.68477,45.396828,0,0,243,40,2017/05/06 13:57:28+00,,,,,,,,,,,,,,,,,,,,,
-75.68489,45.397,0,0,244,41,2017/05/06 13:57:45+00,,,,,,,,,,,,,,,,,,,,,
-75.68494,45.397083,0,0,245,41,2017/05/06 13:57:50+00,,,,,,,,,,,,,,,,,,,,,
-75.685,45.39729,0,0,246,41,2017/05/06 13:58:07+00,,,,,,,,,,,,,,,,,,,,,
-75.685005,45.39749,0,0,247,39,2017/05/06 13:58:21+00,,,,,,,,,,,,,,,,,,,,,
-75.68511,45.397667,0,0,248,38,2017/05/06 13:58:39+00,,,,,,,,,,,,,,,,,,,,,
-75.68501,45.397465,0,0,249,40,2017/05/06 13:58:53+00,,,,,,,,,,,,,,,,,,,,,
-75.68485,45.397297,0,0,250,39,2017/05/06 13:59:04+00,,,,,,,,,,,,,,,,,,,,,
-75.68469,45.397125,0,0,251,38,2017/05/06 13:59:14+00,,,,,,,,,,,,,,,,,,,,,
-75.684555,45.397102,0,0,252,37,2017/05/06 13:59:21+00,,,,,,,,,,,,,,,,,,,,,
-75.68456,45.397003,0,0,253,36,2017/05/06 13:59:27+00,,,,,,,,,,,,,,,,,,,,,
-75.68427,45.396965,0,0,254,34,2017/05/06 13:59:39+00,,,,,,,,,,,,,,,,,,,,,
-75.68387,45.396904,0,0,255,35,2017/05/06 13:59:51+00,,,,,,,,,,,,,,,,,,,,,
-75.68357,45.396915,0,0,256,35,2017/05/06 13:59:59+00,,,,,,,,,,,,,,,,,,,,,
-75.68315,45.396942,0,0,257,35,2017/05/06 14:00:13+00,,,,,,,,,,,,,,,,,,,,,
-75.68286,45.397007,0,0,258,35,2017/05/06 14:00:23+00,,,,,,,,,,,,,,,,,,,,,
-75.682625,45.3971,0,0,259,35,2017/05/06 14:00:34+00,,,,,,,,,,,,,,,,,,,,,
-75.682396,45.397213,0,0,260,35,2017/05/06 14:00:43+00,,,,,,,,,,,,,,,,,,,,,
-75.682144,45.397316,0,0,261,36,2017/05/06 14:00:53+00,,,,,,,,,,,,,,,,,,,,,
-75.682014,45.397373,0,0,262,36,2017/05/06 14:00:58+00,,,,,,,,,,,,,,,,,,,,,
-75.68178,45.39751,0,0,263,35,2017/05/06 14:01:09+00,,,,,,,,,,,,,,,,,,,,,
-75.681595,45.39766,0,0,264,35,2017/05/06 14:01:18+00,,,,,,,,,,,,,,,,,,,,,
-75.68153,45.397747,0,0,265,35,2017/05/06 14:01:22+00,,,,,,,,,,,,,,,,,,,,,
-75.681465,45.39784,0,0,266,36,2017/05/06 14:01:28+00,,,,,,,,,,,,,,,,,,,,,
-75.681335,45.39801,0,0,267,36,2017/05/06 14:01:37+00,,,,,,,,,,,,,,,,,,,,,
-75.68117,45.398186,0,0,268,36,2017/05/06 14:01:47+00,,,,,,,,,,,,,,,,,,,,,
-75.68102,45.398342,0,0,269,36,2017/05/06 14:01:56+00,,,,,,,,,,,,,,,,,,,,,
-75.68091,45.398518,0,0,270,35,2017/05/06 14:02:07+00,,,,,,,,,,,,,,,,,,,,,
-75.680855,45.39861,0,0,271,34,2017/05/06 14:02:13+00,,,,,,,,,,,,,,,,,,,,,
-75.680824,45.398697,0,0,272,34,2017/05/06 14:02:17+00,,,,,,,,,,,,,,,,,,,,,
-75.680756,45.398914,0,0,273,35,2017/05/06 14:02:27+00,,,,,,,,,,,,,,,,,,,,,
-75.68068,45.399113,0,0,274,34,2017/05/06 14:02:36+00,,,,,,,,,,,,,,,,,,,,,
-75.68058,45.399315,0,0,275,33,2017/05/06 14:02:46+00,,,,,,,,,,,,,,,,,,,,,
-75.68052,45.399414,0,0,276,32,2017/05/06 14:02:52+00,,,,,,,,,,,,,,,,,,,,,
-75.68043,45.3995,0,0,277,32,2017/05/06 14:02:57+00,,,,,,,,,,,,,,,,,,,,,
-75.680305,45.399696,0,0,278,32,2017/05/06 14:03:08+00,,,,,,,,,,,,,,,,,,,,,
-75.680244,45.399902,0,0,279,33,2017/05/06 14:03:18+00,,,,,,,,,,,,,,,,,,,,,
-75.68025,45.399994,0,0,280,33,2017/05/06 14:03:23+00,,,,,,,,,,,,,,,,,,,,,
-75.68027,45.400085,0,0,281,34,2017/05/06 14:03:27+00,,,,,,,,,,,,,,,,,,,,,
-75.68028,45.40018,0,0,282,34,2017/05/06 14:03:31+00,,,,,,,,,,,,,,,,,,,,,
-75.6803,45.40028,0,0,283,35,2017/05/06 14:03:36+00,,,,,,,,,,,,,,,,,,,,,
-75.68037,45.400463,0,0,284,36,2017/05/06 14:03:45+00,,,,,,,,,,,,,,,,,,,,,
-75.68046,45.400642,0,0,285,38,2017/05/06 14:03:54+00,,,,,,,,,,,,,,,,,,,,,
-75.68049,45.400753,0,0,286,38,2017/05/06 14:03:59+00,,,,,,,,,,,,,,,,,,,,,
-75.680466,45.400867,0,0,287,38,2017/05/06 14:04:04+00,,,,,,,,,,,,,,,,,,,,,
-75.68042,45.40107,0,0,288,38,2017/05/06 14:04:13+00,,,,,,,,,,,,,,,,,,,,,
-75.68038,45.40116,0,0,289,38,2017/05/06 14:04:18+00,,,,,,,,,,,,,,,,,,,,,
-75.68026,45.401344,0,0,290,37,2017/05/06 14:04:27+00,,,,,,,,,,,,,,,,,,,,,
-75.68025,45.401447,0,0,291,37,2017/05/06 14:04:31+00,,,,,,,,,,,,,,,,,,,,,
-75.6803,45.40155,0,0,292,37,2017/05/06 14:04:35+00,,,,,,,,,,,,,,,,,,,,,
-75.68045,45.401726,0,0,293,38,2017/05/06 14:04:44+00,,,,,,,,,,,,,,,,,,,,,
-75.68053,45.401806,0,0,294,38,2017/05/06 14:04:47+00,,,,,,,,,,,,,,,,,,,,,
-75.680565,45.401894,0,0,295,38,2017/05/06 14:04:51+00,,,,,,,,,,,,,,,,,,,,,
-75.68063,45.401997,0,0,296,38,2017/05/06 14:04:56+00,,,,,,,,,,,,,,,,,,,,,
-75.68071,45.40207,0,0,297,38,2017/05/06 14:05:00+00,,,,,,,,,,,,,,,,,,,,,
-75.68085,45.40224,0,0,298,38,2017/05/06 14:05:08+00,,,,,,,,,,,,,,,,,,,,,
-75.68092,45.402317,0,0,299,38,2017/05/06 14:05:12+00,,,,,,,,,,,,,,,,,,,,,
-75.68099,45.40241,0,0,300,38,2017/05/06 14:05:16+00,,,,,,,,,,,,,,,,,,,,,
-75.681145,45.402576,0,0,301,38,2017/05/06 14:05:27+00,,,,,,,,,,,,,,,,,,,,,
-75.68122,45.40266,0,0,302,39,2017/05/06 14:05:31+00,,,,,,,,,,,,,,,,,,,,,
-75.681305,45.40274,0,0,303,39,2017/05/06 14:05:35+00,,,,,,,,,,,,,,,,,,,,,
